,index,0,1,2,3,4,Answer,Words
12,12.0,A gun of mass 1000 kg fires a projectile of mass 1 kg with a horizontal velocity of 100 m/s. The velocity of recoil of the gun in the horizontal direction is,(a) 5 m/s,(b) 0.1 m/s,(c) 15 m/s,(d) 20 m/s,(b) 0.1 m/s,fictitious
13,13.0,A block of wood is placed on a surface. A force is applied parallel to the surface to move the body. The frictional force developed acts,(a) normal to the surface upwards,(b) normal to the surface downwards,(c) along the direction of the applied force,(d) opposite to the direction of the applied force,(d) opposite to the direction of the applied force,upwards
14,14.0,A block of mass 2 kg rests on a rough inclined plane making an angle of 30 degree with the horizontal. The coefficient of static friction between he block and the plane is 0.7. The frictional force on the block is,(a) 9.8 N,(b) 0.7 × 9.8 × √3 N,(c) 9.8 × √3 N,(d) 0.7 × 9.8 N,(d) 0.7 × 9.8 N,horizontal
15,15.0,A particle of mass 0.3 kg is subjected to a force F = -kx with k = 15 N/m. What will be its initial acceleration if it is released from a point 20 cm away from the origin?,(a) 15 m/s²,(b) 3 m/s²,(c) 10 m/s²,(d) 5 m/s²,(c) 10 m/s²,projectile
16,16.0,"Two bodies of masses 4 kg and 5 kg are acted upon by the same force. If the acceleration of lighter body is 2 m/s², the acceleration of heavier body is",(a) 1 m/s²,(b) 1.2 m/s²,(c) 1.6 m/s²,(d) 1.8 m/s²,(c) 1.6 m/s²,exert
17,17.0,"Out of the basic forces , gravitational force",(a) ranks first in strength,(b) ranks second in strength,(c) ranks third in strength,(d) ranks fourth in strength,(d) ranks fourth in strength,velocity
18,18.0,The frame of reference attached to a satellite of the earth is,(a) an inertial frame,(b) an absolute frame at rest with respect to the stars,(c) a non – inertial frame,(d) a gravitational frame,(c) a non – inertial frame,holding
19,19.0,A block of mass M is placed on a flat surface. A force is applied to move it parallel to the surface. The frictional force f developed is proportional to the,(a) square of the mass of the body,(b) mass of the body,(c) reciprocal of the mass of the body,(d) reciprocal of the square of the body,(b) mass of the body,opposite
20,,,,,,,,pushed
21,,,,,,,,sitting
22,,,,,,,,backward
23,,,,,,,,speed
24,,,,,,,,one
25,,,,,,,,initial
26,,,,,,,,frictional
27,,,,,,,,required
28,,,,,,,,coeffcient
29,,,,,,,,origin
30,,,,,,,,within
31,,,,,,,,machine
32,,,,,,,,forward
33,,,,,,,,momentum
34,,,,,,,,making
35,,,,,,,,gum
36,,,,,,,,square
37,,,,,,,,suddenly
38,,,,,,,,uniform
39,,,,,,,,friction
40,,,,,,,,feel
41,,,,,,,,internal
42,,,,,,,,gun
44,,,,,,,,acceleration
45,,,,,,,,reference
46,,,,,,,,real
47,,,,,,,,produce
48,,,,,,,,maximum
49,,,,,,,,lighter
50,,,,,,,,experienced
51,,,,,,,,respect
52,,,,,,,,second
53,,,,,,,,plane
54,,,,,,,,whenever
55,,,,,,,,ball
56,,,,,,,,four
57,,,,,,,,bullet
58,,,,,,,,surface
59,,,,,,,,sliding
61,,,,,,,,law
62,,,,,,,,reciprocal
63,,,,,,,,frame
64,,,,,,,,released
65,,,,,,,,three
66,,,,,,,,resistance
67,,,,,,,,recoil
68,,,,,,,,average
69,,,,,,,,thrown
70,,,,,,,,wall
71,,,,,,,,two
72,,,,,,,,normal
73,,,,,,,,travelling
74,,,,,,,,held
75,,,,,,,,wood
76,,,,,,,,make
78,,,,,,,,electromagnetic
79,,,,,,,,proportional
80,,,,,,,,newtons
81,,,,,,,,acting
82,,,,,,,,called
83,,,,,,,,moving
84,,,,,,,,time
86,,,,,,,,nucleus
87,,,,,,,,inertial
88,,,,,,,,per
89,,,,,,,,equal
90,,,,,,,,passenger
91,,,,,,,,proton
92,,,,,,,,rest
93,,,,,,,,point
94,,,,,,,,accelerated
95,,,,,,,,particle
96,,,,,,,,non
97,,,,,,,,man
98,,,,,,,,rank
99,,,,,,,,weak
100,,,,,,,,normally
101,,,,,,,,inclined
102,,,,,,,,along
103,,,,,,,,target
105,,,,,,,,earth
107,,,,,,,,star
108,,,,,,,,block
109,,,,,,,,repulsion
110,,,,,,,,spherical
111,,,,,,,,produced
113,,,,,,,,force
114,,,,,,,,heavier
115,,,,,,,,offered
116,,,,,,,,parallel
117,,,,,,,,placed
118,,,,,,,,satellite
119,,,,,,,,flat
120,,,,,,,,angle
121,,,,,,,,subjected
122,,,,,,,,pseudo
123,,,,,,,,conservation
124,,,,,,,,bus
125,,,,,,,,body
126,,,,,,,,ratio
127,,,,,,,,rebound
128,,,,,,,,fourth
129,,,,,,,,stopped
130,,,,,,,,many
131,,,,,,,,coefficient
133,,,,,,,,principle
134,,,,,,,,downwards
135,,,,,,,,attached
136,,,,,,,,degree
137,,,,,,,,type
138,,,,,,,,first
139,,,,,,,,weight
140,,,,,,,,electrostatic
141,,,,,,,,strong
142,,,,,,,,explained
143,,,,,,,,rough
144,,,,,,,,basic
145,,,,,,,,absolute
146,,,,,,,,move
147,,,,,,,,away
149,,,,,,,,gravitational
150,,,,,,,,strength
151,,,,,,,,applied
