,index,0,1,2,3,4,Answer,Words
136,,,,,,,,sphere
137,,,,,,,,solid
138,,,,,,,,wool
139,,,,,,,,vertically
141,,,,,,,,density
142,,,,,,,,dielectric
143,,,,,,,,series
144,,,,,,,,transferred
146,,,,,,,,blocked
148,,,,,,,,coulomb
149,,,,,,,,unity
150,,,,,,,,conducting
151,,,,,,,,hollow
153,,,,,,,,may
