,index,0,1,2,3,4,Answer,Words
10,10.0,Which of the following acts as a sink for CO?,(a) Plants,(b) Haemoglobin,(c) Microorganisms present in the soil,(d) Oceans,"(c) Microorganisms present in the soil
Explanation:
CO is converted into CO2 by microorganism present in soil.",rice
11,11.0,The false statement among the followings:,(a) The average residence time of NO is one month.,(b) Limestone acts as a sink for SOx.,(c) SOx can be removed from flue gases by passing through a solution of citrate ions.,(d) Ammonia acts as a sink for NOx.,"(d) Ammonia acts as a sink for NOx.
Explanation:
The average residence time of NO is 4 days.",photochemical
12,12.0,"A disease caused by eating fish contaminated by industrial waste, containing mercury compounds, is called as",(a) Minamata disease,(b) Brights disease,(c) Hashimotos disease,(d) Osteosclerosis,"(a) Minamata disease
Explanation:
Disease caused by eating fish found in water contaminated with industrial waste having mercury is minamata disease.",part
13,13.0,Which of the following is responsible for depletion of ozone layer in the upper strata of the atmosphere?,(a) Polyhalogens,(b) Ferrocene,(c) Fullerencs,(d) Freons.,"(d) Freons.
Explanation:
Fluorocarbons such as freon-1 (CFCl3) and freon-12 (CF2Cl2) emitted as propellants in aerosol spray cans, refrigerators, fire fighting reagents etc. are stable compounds and chemically inert. They do not react with any substance with which they come in contact and thus float through the atmosphere unchanged and eventually enter the stratosphere. There they absorb UV radiations and break down liberating free atomic chlorine which causes decomposition of ozone. This results in the depletion of the ozone layer.",chemistry
14,14.0,Photochemical smog is related to pollution if,(a) Air,(b) Water,(c) Soil,(d) None of these,"(c) Soil
Explanation:
Photochemical smog is produced when pollutants from the combustion of fossil fuels react with sunlight. The energy in the sunlight converts the pollutants into other toxic chemicals. For photochemical smog to form, there must be other pollutants in the air, specifically nitrous oxides and other volatile organic compounds (VOCs).",mercury
15,15.0,Identify the wrong statement in the following:,(a) Acid rain is mostly because of oxides of nitrogen and sulphur,(b) Chlorofluorocarbons are responsible for ozone layer depltion,(c) Greenhouse effect is responsible for global warming,(d) Ozone layer does not permit infrared radiation from the sun to reach the earth.,"(d) Ozone layer does not permit infrared radiation from the sun to reach the earth.
Explanation:
Allotropes of Oxygen-
O2 (Dioxygen) and O3 (Ozone)
Infrared radiation is most important for heating up the atmosphere and the surface of the earth. These rays have high wavelength and low frequency and are not very harmful. Ozone does not hinder infrared radiation.",nonbiodegradable
16,16.0,Synthesis of ethanal commercially from which of the following reagent is the part of green chemistry?,(a) CH3CH2OH,(b) CH2 = CH2,(c) HC ≡ CH,(d) All of these,(b) CH2 = CH2,act
17,17.0,Which of the following is produced by a reaction of ultraviolet light?,(a) CO2,(b) SO2,(c) O3,(d) NO3,"(c) O3
Explanation:
Ultraviolet radiations cause photochemical splitting of oxygen molecules in the stratosphere. The nascent oxygen combines with molecular oxygen to form ozone. In troposphere nascent oxygen comes from nitrogen dioxide.",increasing
18,18.0,Why certain parts of water bodies contain more number of algae?,(a) Due to favorable environment,(b) Due to run-off excess fertilizers,(c) Due to lack of fertilizers,(d) Due to water pollution,"(b) Due to run-off excess fertilizers
Explanation:
Inorganic plant nutrients found in fertilizers. Run-off carries excess fertilizers into nearby water bodies, causing high levels of plant nutrients which promote the excessive growth of algae and other aquatic plants.",react
19,19.0,The substance which is a primary pollutant?,(a) H2SO4,(b) CO,(c) PAN,(d) Aldehydes,"(b) CO
Explanation:
Important Air pollutants
Oxides of carbon (CO,CO2)
Oxides of sulphur (SO2 & SO3)
Oxides of nitrogen
Chlorofluoro carbons (CFC)
Hydrocarbons Like CH4
​Photochemical and Industrial smog.
Dust & other particulate matter from industries.",amount
20,,,,,,,,algae
21,,,,,,,,rain
22,,,,,,,,none
23,,,,,,,,primary
24,,,,,,,,source
25,,,,,,,,soil
26,,,,,,,,station
27,,,,,,,,nearby
28,,,,,,,,large
29,,,,,,,,passing
30,,,,,,,,called
31,,,,,,,,eating
32,,,,,,,,effect
33,,,,,,,,produce
34,,,,,,,,soilnexplanationnphotochemical
35,,,,,,,,contaminated
36,,,,,,,,bone
37,,,,,,,,odourless
38,,,,,,,,infrared
39,,,,,,,,allow
40,,,,,,,,wrong
41,,,,,,,,bubble
42,,,,,,,,environment
43,,,,,,,,eventually
44,,,,,,,,sink
45,,,,,,,,excessive
46,,,,,,,,depletion
47,,,,,,,,required
49,,,,,,,,genetic
50,,,,,,,,due
51,,,,,,,,atomic
52,,,,,,,,field
53,,,,,,,,damage
54,,,,,,,,extraction
55,,,,,,,,falloutnexplanationnnuclear
56,,,,,,,,pollution
57,,,,,,,,aquatic
58,,,,,,,,nascent
59,,,,,,,,fall
60,,,,,,,,contain
61,,,,,,,,lacking
62,,,,,,,,etc
63,,,,,,,,wavelength
64,,,,,,,,runoff
65,,,,,,,,waste
66,,,,,,,,biological
67,,,,,,,,result
68,,,,,,,,blast
69,,,,,,,,commercially
70,,,,,,,,major
71,,,,,,,,dioxide
72,,,,,,,,nutrient
73,,,,,,,,sun
74,,,,,,,,joint
75,,,,,,,,energy
76,,,,,,,,high
77,,,,,,,,contribute
78,,,,,,,,coal
79,,,,,,,,facility
80,,,,,,,,hydrocarbon
81,,,,,,,,half
82,,,,,,,,unshielded
83,,,,,,,,fertilizer
84,,,,,,,,compound
85,,,,,,,,fullerencs
86,,,,,,,,freon
87,,,,,,,,average
88,,,,,,,,wave
89,,,,,,,,soilnexplanationnco
90,,,,,,,,explosion
91,,,,,,,,radioactive
92,,,,,,,,promote
93,,,,,,,,coconoxides
94,,,,,,,,spray
95,,,,,,,,fallout
96,,,,,,,,causing
97,,,,,,,,radiation
98,,,,,,,,bacteria
99,,,,,,,,reaction
100,,,,,,,,enter
101,,,,,,,,produced
102,,,,,,,,onexplanationnultraviolet
103,,,,,,,,can
104,,,,,,,,nitrogen
105,,,,,,,,greenhouse
106,,,,,,,,product
107,,,,,,,,sox
108,,,,,,,,freonsnexplanationnfluorocarbons
109,,,,,,,,constitutes
110,,,,,,,,automobile
111,,,,,,,,pollutant
112,,,,,,,,vehicular
113,,,,,,,,stable
114,,,,,,,,plant
115,,,,,,,,hashimotos
116,,,,,,,,fossil
117,,,,,,,,life
118,,,,,,,,heating
119,,,,,,,,atmosphere
120,,,,,,,,controlled
121,,,,,,,,refrigerator
122,,,,,,,,cured
123,,,,,,,,limestone
124,,,,,,,,layer
125,,,,,,,,aerosol
126,,,,,,,,propelled
127,,,,,,,,paddy
128,,,,,,,,microorganisms
129,,,,,,,,float
130,,,,,,,,liberating
131,,,,,,,,chief
132,,,,,,,,conexplanationnmotor
133,,,,,,,,case
134,,,,,,,,hydrogen
135,,,,,,,,false
136,,,,,,,,passed
137,,,,,,,,grown
138,,,,,,,,matter
139,,,,,,,,wood
140,,,,,,,,nuclear
141,,,,,,,,ethanal
142,,,,,,,,form
143,,,,,,,,molecule
144,,,,,,,,diffused
145,,,,,,,,absorb
146,,,,,,,,cfcl
148,,,,,,,,microorganism
149,,,,,,,,earthnexplanationnallotropes
150,,,,,,,,emission
151,,,,,,,,among
152,,,,,,,,caused
153,,,,,,,,upper
154,,,,,,,,city
155,,,,,,,,ultraviolet
156,,,,,,,,hinder
157,,,,,,,,ammonia
158,,,,,,,,destruction
159,,,,,,,,propellant
160,,,,,,,,time
161,,,,,,,,depltion
162,,,,,,,,water
163,,,,,,,,reach
164,,,,,,,,combustion
165,,,,,,,,biodegradable
166,,,,,,,,certain
167,,,,,,,,flue
168,,,,,,,,level
169,,,,,,,,favorable
170,,,,,,,,accumulation
171,,,,,,,,like
172,,,,,,,,oxygenno
173,,,,,,,,thus
174,,,,,,,,fighting
175,,,,,,,,shock
176,,,,,,,,chnubphotochemical
177,,,,,,,,fire
178,,,,,,,,natural
179,,,,,,,,body
180,,,,,,,,conducted
181,,,,,,,,fuel
182,,,,,,,,excess
183,,,,,,,,volatile
184,,,,,,,,free
185,,,,,,,,noxnexplanationnthe
186,,,,,,,,decomposing
187,,,,,,,,important
188,,,,,,,,presence
189,,,,,,,,found
190,,,,,,,,wheat
191,,,,,,,,convert
192,,,,,,,,growth
193,,,,,,,,agricultural
194,,,,,,,,permit
195,,,,,,,,surface
196,,,,,,,,emitted
197,,,,,,,,chemically
198,,,,,,,,must
199,,,,,,,,inert
200,,,,,,,,chchoh
201,,,,,,,,organic
202,,,,,,,,bodnexplanationnthe
203,,,,,,,,sunlight
204,,,,,,,,transportation
205,,,,,,,,globe
206,,,,,,,,industrial
207,,,,,,,,plants
208,,,,,,,,nox
209,,,,,,,,cannot
210,,,,,,,,pesticides
211,,,,,,,,present
212,,,,,,,,vehicle
213,,,,,,,,situation
214,,,,,,,,colourless
215,,,,,,,,incomplete
216,,,,,,,,erosion
217,,,,,,,,one
218,,,,,,,,carry
219,,,,,,,,effluents
220,,,,,,,,mining
221,,,,,,,,ray
222,,,,,,,,nonirritating
223,,,,,,,,frequency
224,,,,,,,,splitting
225,,,,,,,,minamata
226,,,,,,,,pan
227,,,,,,,,waternexplanationnskeletal
228,,,,,,,,number
229,,,,,,,,particulate
230,,,,,,,,vocs
231,,,,,,,,power
232,,,,,,,,painful
233,,,,,,,,cause
234,,,,,,,,fertilizersnexplanationninorganic
235,,,,,,,,chemical
236,,,,,,,,ferrocene
237,,,,,,,,contact
238,,,,,,,,ion
239,,,,,,,,mostly
240,,,,,,,,chlorofluorocarbons
241,,,,,,,,back
242,,,,,,,,brights
243,,,,,,,,light
244,,,,,,,,smogndust
245,,,,,,,,ozone
246,,,,,,,,residence
247,,,,,,,,flooded
248,,,,,,,,containing
249,,,,,,,,global
250,,,,,,,,warming
251,,,,,,,,monoxide
252,,,,,,,,substance
253,,,,,,,,unchanged
254,,,,,,,,pollutionnexplanationndomestic
255,,,,,,,,human
256,,,,,,,,pollutantsnoxides
257,,,,,,,,come
258,,,,,,,,dioxygen
259,,,,,,,,ingredient
260,,,,,,,,stratosphere
261,,,,,,,,decomposition
262,,,,,,,,soils
263,,,,,,,,bod
264,,,,,,,,skeletal
265,,,,,,,,hno
266,,,,,,,,troposphere
267,,,,,,,,residual
268,,,,,,,,combine
269,,,,,,,,fluoride
270,,,,,,,,stratum
271,,,,,,,,anaerobic
272,,,,,,,,freons
273,,,,,,,,contributes
274,,,,,,,,agro
275,,,,,,,,acid
276,,,,,,,,solution
277,,,,,,,,carbon
278,,,,,,,,hence
279,,,,,,,,oceans
280,,,,,,,,diseasenexplanationndisease
281,,,,,,,,cotton
282,,,,,,,,lack
283,,,,,,,,nitrous
284,,,,,,,,maximum
285,,,,,,,,material
286,,,,,,,,groundnut
287,,,,,,,,fish
288,,,,,,,,aldehydes
289,,,,,,,,desert
290,,,,,,,,oxygen
291,,,,,,,,statement
292,,,,,,,,hso
293,,,,,,,,nitrogennchlorofluoro
294,,,,,,,,advanced
295,,,,,,,,fluorides
296,,,,,,,,thrive
297,,,,,,,,converted
298,,,,,,,,removed
299,,,,,,,,quarter
300,,,,,,,,day
301,,,,,,,,disease
302,,,,,,,,oxide
303,,,,,,,,indicator
304,,,,,,,,responsible
305,,,,,,,,mutation
306,,,,,,,,industry
307,,,,,,,,sonoxides
308,,,,,,,,fluorosis
310,,,,,,,,toxic
311,,,,,,,,simply
312,,,,,,,,conexplanationnimportant
313,,,,,,,,ozoneninfrared
314,,,,,,,,air
315,,,,,,,,related
316,,,,,,,,methane
317,,,,,,,,sky
318,,,,,,,,citrate
319,,,,,,,,osteosclerosis
320,,,,,,,,deforestation
321,,,,,,,,chlorine
322,,,,,,,,harmful
323,,,,,,,,stationsnexplanationnthermal
324,,,,,,,,cfcnhydrocarbons
325,,,,,,,,almost
327,,,,,,,,depletes
328,,,,,,,,gas
329,,,,,,,,fieldnexplanationnrice
330,,,,,,,,month
331,,,,,,,,sulphur
332,,,,,,,,following
333,,,,,,,,green
334,,,,,,,,haemoglobin
335,,,,,,,,specifically
336,,,,,,,,low
